Year,Units,time series,Value
2015.0,million eur,pandemic prevention and response,137.85
2016.0,million eur,pandemic prevention and response,151.44
2017.0,million eur,pandemic prevention and response,220.78
2018.0,million eur,pandemic prevention and response,260.67
2019.0,million eur,pandemic prevention and response,272.54
2020.0,million eur,pandemic prevention and response,353.1
2021.0,million eur,pandemic prevention and response,168.0
2015.0,million eur,pandemic prevention and response,137.85
2016.0,million eur,pandemic prevention and response,151.44
2017.0,million eur,pandemic prevention and response,220.78
2018.0,million eur,pandemic prevention and response,260.67
2019.0,million eur,pandemic prevention and response,272.54
2020.0,million eur,pandemic prevention and response,353.1
2030.0,million eur,,
2015.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2016.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2017.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2018.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2019.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2020.0,million eur,separate amount devoted to curbing the covid-19 pandemic,635.18
2021.0,million eur,separate amount devoted to curbing the covid-19 pandemic,222.7
2015.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2016.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2017.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2018.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2019.0,million eur,separate amount devoted to curbing the covid-19 pandemic,
2020.0,million eur,separate amount devoted to curbing the covid-19 pandemic,635.18
2030.0,million eur,,
